Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza X 3,fuerza Y 3,fuerza neta 3,fuerza total X,fuerza total Y,fuerza neta total
-16.0,9.0,-61.734,22.449,65.69,-19.345,3.685,19.693,-17.542,22.326,28.393,-98.62100000000001,48.46,109.884
-16.0,11.5,-47.462,28.046,55.13,-17.791,5.507,18.624,-12.694,19.041,22.885,-77.947,52.593999999999994,94.031
-16.0,14.0,-34.481,28.212,44.552,-15.848,6.792,17.242,-9.356,16.161,18.673,-59.685,51.165,78.614
-16.0,16.5,-24.564,25.68,35.537,-13.77,7.541,15.699,-7.028,13.736,15.43,-45.362,46.95700000000001,65.289
-16.0,19.0,-17.542,22.326,28.393,-11.756,7.837,14.129,-5.38,11.738,12.912,-34.678000000000004,41.900999999999996,54.39
-13.5,-21.0,-3.738,-11.433,12.028,-5.124,-7.202,8.839,-12.863,-24.212,27.417,-21.725,-42.846999999999994,48.04
-13.5,-18.5,-4.902,-13.552,14.412,-6.224,-7.906,10.062,-18.842,-29.926,35.364,-29.968,-51.384,59.484
-13.5,-16.0,-6.579,-16.254,17.535,-7.595,-8.622,11.49,-28.479,-36.855,46.575,-42.653,-61.730999999999995,75.033
-13.5,-13.5,-9.066,-19.731,21.713,-9.297,-9.297,13.148,-44.039,-44.039,62.282,-62.402,-73.06700000000001,96.087
-13.5,-11.0,-12.863,-24.212,27.417,-11.379,-9.841,15.044,-67.93,-47.95,83.146,-92.172,-82.003,123.37
-13.5,-8.5,-18.842,-29.926,35.364,-13.861,-10.115,17.159,-98.499,-40.558,106.518,-131.202,-80.59899999999999,153.981
-13.5,-6.0,-28.479,-36.855,46.575,-16.7,-9.929,19.428,-122.009,-14.354,122.856,-167.188,-61.138,178.016
-13.5,-3.5,-44.039,-44.039,62.282,-19.731,-9.066,21.713,-118.981,20.997,120.815,-182.751,-32.108000000000004,185.55
-13.5,-1.0,-67.93,-47.95,83.146,-22.632,-7.34,23.793,-92.28,43.426,101.986,-182.842,-11.864000000000004,183.227
-13.5,1.5,-98.499,-40.558,106.518,-24.946,-4.72,25.388,-62.447,47.753,78.609,-185.892,2.4750000000000014,185.908
-13.5,4.0,-122.009,-14.354,122.856,-26.182,-1.415,26.22,-40.328,42.7,58.732,-188.519,26.931000000000004,190.433
-13.5,6.5,-118.981,20.997,120.815,-26.038,2.111,26.124,-26.161,35.394,44.012,-171.18,58.501999999999995,180.901
-13.5,9.0,-92.28,43.426,101.986,-24.557,5.31,25.123,-17.413,28.681,33.552,-134.25,77.417,154.972
-13.5,11.5,-62.447,47.753,78.609,-22.082,7.759,23.406,-11.963,23.223,26.124,-96.49199999999999,78.735,124.539
-13.5,14.0,-40.328,42.7,58.732,-19.121,9.302,21.264,-8.483,18.961,20.773,-67.932,70.963,98.237
-13.5,16.5,-26.161,35.394,44.012,-16.109,10.014,18.967,-6.191,15.659,16.839,-48.461000000000006,61.067,77.959
-13.5,19.0,-17.413,28.681,33.552,-13.334,10.09,16.721,-4.635,13.087,13.883,-35.382,51.858000000000004,62.778
-11.0,-21.0,-2.842,-12.317,12.641,-5.061,-8.224,9.656,-10.822,-28.859,30.822,-18.725,-49.400000000000006,52.83
-11.0,-18.5,-3.785,-14.824,15.299,-6.267,-9.204,11.135,-16.749,-37.685,41.239,-26.801,-61.713,67.281
-11.0,-16.0,-5.184,-18.143,18.868,-7.825,-10.271,12.912,-27.45,-50.325,57.325,-40.459,-78.739,88.525
-11.0,-13.5,-7.34,-22.632,23.793,-9.841,-11.379,15.044,-47.95,-67.93,83.146,-65.131,-101.941,120.971
-11.0,-11.0,-10.822,-28.859,30.822,-12.43,-12.43,17.579,-88.397,-88.397,125.008,-111.649,-129.686,171.126
-11.0,-8.5,-16.749,-37.685,41.239,-15.697,-13.244,20.537,-161.135,-93.995,186.54,-193.581,-144.924,241.819
-11.0,-6.0,-27.45,-50.325,57.325,-19.674,-13.526,23.874,-239.906,-39.984,243.224,-287.03,-103.83500000000001,305.234
-11.0,-3.5,-47.95,-67.93,83.146,-24.212,-12.863,27.417,-228.231,57.058,235.268,-300.39300000000003,-23.735000000000007,301.329
-11.0,-1.0,-88.397,-88.397,125.008,-28.859,-10.822,30.822,-144.015,96.01,173.082,-261.27099999999996,-3.209000000000003,261.291
-11.0,1.5,-161.135,-93.995,186.54,-32.778,-7.17,33.552,-78.01,84.511,115.013,-271.923,-16.65400000000001,272.433
-11.0,4.0,-239.906,-39.984,243.224,-34.953,-2.185,35.02,-42.665,63.998,76.918,-317.52400000000006,21.828999999999994,318.273
-11.0,6.5,-228.231,57.058,235.268,-34.699,3.253,34.851,-24.744,47.426,53.493,-287.674,107.737,307.187
-11.0,9.0,-144.015,96.01,173.082,-32.103,8.026,33.09,-15.28,35.653,38.791,-191.398,139.689,236.952
-11.0,11.5,-78.01,84.511,115.013,-27.957,11.357,30.176,-9.978,27.439,29.197,-115.94500000000001,123.30699999999999,169.257
-11.0,14.0,-42.665,63.998,76.918,-23.275,13.092,26.705,-6.827,21.617,22.67,-72.767,98.70700000000001,122.63
-11.0,16.5,-24.744,47.426,53.493,-18.823,13.529,23.181,-4.855,17.397,18.062,-48.422,78.352,92.107
-11.0,19.0,-15.28,35.653,38.791,-14.986,13.112,19.912,-3.567,14.266,14.705,-33.833,63.031,71.537
-8.5,-21.0,-1.744,-12.959,13.076,-4.832,-9.307,10.486,-7.17,-32.778,33.552,-13.745999999999999,-55.044,56.734
-8.5,-18.5,-2.349,-15.77,15.944,-6.103,-10.624,12.253,-11.613,-44.795,46.275,-20.064999999999998,-71.189,73.963
-8.5,-16.0,-3.264,-19.586,19.856,-7.809,-12.147,14.44,-20.481,-64.369,67.547,-31.554000000000002,-96.102,101.15
-8.5,-13.5,-4.72,-24.946,25.388,-10.115,-13.861,17.159,-40.558,-98.499,106.518,-55.393,-137.30599999999998,148.059
-8.5,-11.0,-7.17,-32.778,33.552,-13.244,-15.697,20.537,-93.995,-161.135,186.54,-114.409,-209.60999999999999,238.801
-8.5,-8.5,-11.613,-44.795,46.275,-17.459,-17.459,24.691,-259.714,-259.714,367.309,-288.786,-321.968,432.505
-8.5,-6.0,-20.481,-64.369,67.547,-23.008,-18.747,29.679,-653.14,-186.611,679.266,-696.629,-269.727,747.024
-8.5,-3.5,-40.558,-98.499,106.518,-29.926,-18.842,35.364,-570.453,244.48,620.653,-640.937,127.139,653.425
-8.5,-1.0,-93.995,-161.135,186.54,-37.685,-16.749,41.239,-209.798,239.769,318.593,-341.478,61.88500000000002,347.04
-8.5,1.5,-259.714,-259.714,367.309,-44.795,-11.613,46.275,-78.305,145.423,165.156,-382.814,-125.904,402.987
-8.5,4.0,-653.14,-186.611,679.266,-48.979,-3.628,49.113,-34.977,89.941,96.507,-737.096,-100.29799999999997,743.889
-8.5,6.5,-570.453,244.48,620.653,-48.483,5.387,48.781,-18.134,59.582,62.282,-637.0699999999999,309.449,708.249
-8.5,9.0,-209.798,239.769,318.593,-43.528,12.897,45.398,-10.481,41.926,43.217,-263.807,294.592,395.447
-8.5,11.5,-78.305,145.423,165.156,-36.123,17.392,40.091,-6.564,30.947,31.635,-120.99199999999999,193.762,228.435
-8.5,14.0,-34.977,89.941,96.507,-28.446,18.964,34.188,-4.368,23.712,24.112,-67.791,132.617,148.939
-8.5,16.5,-18.134,59.582,62.282,-21.785,18.558,28.617,-3.048,18.721,18.967,-42.967,96.861,105.963
-8.5,19.0,-10.481,41.926,43.217,-16.515,17.127,23.793,-2.208,15.139,15.299,-29.204,74.192,79.733
