Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza X 3,fuerza Y 3,fuerza neta 3,fuerza total X,fuerza total Y,fuerza neta total
-2.0,-2.0,106.039,106.039,-149.975,-28.468,-85.404,90.016,-170.808,-56.936,180.032,-93.237,-36.300999999999995,100.054
-2.0,-1.5,136.026,113.355,-177.061,-46.082,-115.206,124.099,-192.019,-32.003,194.643,-102.07499999999999,-33.854,107.543
-2.0,-1.0,172.746,115.164,-207.641,-80.506,-161.012,180.011,-200.0,0.0,200.0,-107.75999999999999,-45.848,117.108
-2.0,-0.5,214.682,107.341,-240.015,-153.552,-230.328,276.854,-192.019,32.003,194.643,-130.889,-90.98400000000001,159.405
-2.0,0.0,256.212,85.404,-270.047,-318.342,-318.342,450.136,-170.808,56.936,180.032,-232.938,-176.00199999999998,291.953
-2.0,0.5,288.029,48.005,-291.965,-644.046,-322.023,720.044,-143.121,71.561,160.01,-499.13800000000003,-202.45700000000002,538.635
-2.0,1.0,300.0,-0.0,-300.0,-900.0,0.0,900.0,-115.164,76.776,138.427,-715.164,76.776,719.273
-2.0,1.5,288.029,-48.005,-291.965,-644.046,322.023,720.044,-90.684,75.57,118.04,-446.701,349.588,567.233
-2.0,2.0,256.212,-85.404,-270.047,-318.342,318.342,450.136,-70.693,70.693,99.983,-132.82299999999998,303.631,331.412
-2.0,2.5,214.682,-107.341,-240.015,-153.552,230.328,276.854,-55.118,64.304,84.698,6.011999999999993,187.291,187.387
-2.0,3.0,172.746,-115.164,-207.641,-80.506,161.012,180.011,-43.2,57.6,72.0,49.040000000000006,103.44800000000001,114.483
-1.5,-3.5,49.475,89.055,-101.879,-4.847,-43.625,43.896,-101.783,-101.783,143.962,-57.155,-56.352999999999994,80.264
-1.5,-3.0,64.314,102.903,-121.348,-6.87,-54.962,55.388,-137.072,-109.658,175.562,-79.62800000000001,-61.717,100.745
-1.5,-2.5,84.839,118.775,-145.957,-10.178,-71.248,71.981,-181.676,-109.005,211.834,-107.01499999999999,-61.477999999999994,123.417
-1.5,-2.0,113.355,136.026,-177.061,-16.002,-96.01,97.322,-230.411,-92.164,248.199,-133.058,-52.147999999999996,142.912
-1.5,-1.5,152.675,152.675,-215.943,-27.139,-135.694,138.408,-271.389,-54.278,276.817,-145.853,-37.296999999999976,150.546
-1.5,-1.0,205.608,164.486,-263.343,-51.327,-205.308,211.673,-288.0,0.0,288.0,-133.719,-40.822,139.811
-1.5,-0.5,272.514,163.508,-317.751,-113.872,-341.616,360.063,-271.389,54.278,276.817,-112.74700000000001,-123.82999999999998,167.469
-1.5,0.0,345.617,138.247,-372.298,-322.023,-644.046,720.044,-230.411,92.164,248.199,-206.817,-413.63500000000005,462.458
-1.5,0.5,407.083,81.417,-415.225,-1273.369,-1273.369,1800.544,-181.676,109.005,211.834,-1047.9619999999998,-1082.9470000000001,1506.983
-1.5,1.0,432.0,-0.0,-432.0,-3600.0,0.0,3600.0,-137.072,109.658,175.562,-3305.072,109.658,3306.891
-1.5,1.5,407.083,-81.417,-415.225,-1273.369,1273.369,1800.544,-101.783,101.783,143.962,-968.0689999999998,1293.735,1615.83
-1.5,2.0,345.617,-138.247,-372.298,-322.023,644.046,720.044,-75.57,90.684,118.04,-51.976,596.4830000000001,598.743
-1.5,2.5,272.514,-163.508,-317.751,-113.872,341.616,360.063,-56.559,79.183,97.305,102.083,257.291,276.802
