Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza X 3,fuerza Y 3,fuerza neta 3,fuerza X 4,fuerza Y 4,fuerza neta 4,fuerza total X,fuerza total Y,fuerza neta total
-16.0,-13.5,-9.929,-16.7,19.428,-8.622,-7.595,11.49,-36.855,-28.479,46.575,16.254,6.579,-17.535,-39.152,-46.195,60.555
-16.0,-11.0,-13.526,-19.674,23.874,-10.271,-7.825,12.912,-50.325,-27.45,57.325,18.143,5.184,-18.868,-55.979,-49.765,74.901
-16.0,-8.5,-18.747,-23.008,29.679,-12.147,-7.809,14.44,-64.369,-20.481,67.547,19.586,3.264,-19.856,-75.677,-48.034,89.634
-16.0,-6.0,-26.299,-26.299,37.192,-14.185,-7.43,16.014,-73.475,-6.68,73.775,20.338,0.968,-20.362,-93.62100000000001,-39.441,101.59
-16.0,-3.5,-36.855,-28.479,46.575,-16.254,-6.579,17.535,-72.349,9.866,73.02,20.252,-1.447,-20.304,-105.206,-26.639,108.526
-16.0,-1.0,-50.325,-27.45,57.325,-18.143,-5.184,18.868,-61.734,22.449,65.69,19.345,-3.685,-19.693,-110.857,-13.87,111.721
-16.0,1.5,-64.369,-20.481,67.547,-19.586,-3.264,19.856,-47.462,28.046,55.13,17.791,-5.507,-18.624,-113.626,-1.2060000000000013,113.632
-16.0,4.0,-73.475,-6.68,73.775,-20.338,-0.968,20.362,-34.481,28.212,44.552,15.848,-6.792,-17.242,-112.44599999999998,13.772,113.286
-16.0,6.5,-72.349,9.866,73.02,-20.252,1.447,20.304,-24.564,25.68,35.537,13.77,-7.541,-15.699,-103.395,29.451999999999995,107.508
-16.0,9.0,-61.734,22.449,65.69,-19.345,3.685,19.693,-17.542,22.326,28.393,11.756,-7.837,-14.129,-86.86500000000001,40.623000000000005,95.895
-16.0,11.5,-47.462,28.046,55.13,-17.791,5.507,18.624,-12.694,19.041,22.885,9.922,-7.796,-12.618,-68.025,44.797999999999995,81.451
-16.0,14.0,-34.481,28.212,44.552,-15.848,6.792,17.242,-9.356,16.161,18.673,8.321,-7.529,-11.222,-51.364000000000004,43.635999999999996,67.397
-16.0,16.5,-24.564,25.68,35.537,-13.77,7.541,15.699,-7.028,13.736,15.43,6.962,-7.128,-9.964,-38.400000000000006,39.82900000000001,55.325
-16.0,19.0,-17.542,22.326,28.393,-11.756,7.837,14.129,-5.38,11.738,12.912,5.828,-6.66,-8.85,-28.850000000000005,35.241,45.544
-13.5,-21.0,-3.738,-11.433,12.028,-5.124,-7.202,8.839,-12.863,-24.212,27.417,11.379,9.841,-15.044,-10.346000000000002,-33.00599999999999,34.59
-13.5,-18.5,-4.902,-13.552,14.412,-6.224,-7.906,10.062,-18.842,-29.926,35.364,13.861,10.115,-17.159,-16.107,-41.269,44.301
-13.5,-16.0,-6.579,-16.254,17.535,-7.595,-8.622,11.49,-28.479,-36.855,46.575,16.7,9.929,-19.428,-25.953,-51.80199999999999,57.94
-13.5,-13.5,-9.066,-19.731,21.713,-9.297,-9.297,13.148,-44.039,-44.039,62.282,19.731,9.066,-21.713,-42.671,-64.001,76.922
-13.5,-11.0,-12.863,-24.212,27.417,-11.379,-9.841,15.044,-67.93,-47.95,83.146,22.632,7.34,-23.793,-69.53999999999999,-74.663,102.031
-13.5,-8.5,-18.842,-29.926,35.364,-13.861,-10.115,17.159,-98.499,-40.558,106.518,24.946,4.72,-25.388,-106.256,-75.87899999999999,130.568
-13.5,-6.0,-28.479,-36.855,46.575,-16.7,-9.929,19.428,-122.009,-14.354,122.856,26.182,1.415,-26.22,-141.006,-59.723,153.132
-13.5,-3.5,-44.039,-44.039,62.282,-19.731,-9.066,21.713,-118.981,20.997,120.815,26.038,-2.111,-26.124,-156.713,-34.219,160.405
-13.5,-1.0,-67.93,-47.95,83.146,-22.632,-7.34,23.793,-92.28,43.426,101.986,24.557,-5.31,-25.123,-158.28500000000003,-17.174000000000003,159.214
-13.5,1.5,-98.499,-40.558,106.518,-24.946,-4.72,25.388,-62.447,47.753,78.609,22.082,-7.759,-23.406,-163.81,-5.283999999999999,163.895
-13.5,4.0,-122.009,-14.354,122.856,-26.182,-1.415,26.22,-40.328,42.7,58.732,19.121,-9.302,-21.264,-169.398,17.629000000000005,170.313
-13.5,6.5,-118.981,20.997,120.815,-26.038,2.111,26.124,-26.161,35.394,44.012,16.109,-10.014,-18.967,-155.071,48.488,162.475
-13.5,9.0,-92.28,43.426,101.986,-24.557,5.31,25.123,-17.413,28.681,33.552,13.334,-10.09,-16.721,-120.916,67.327,138.397
-13.5,11.5,-62.447,47.753,78.609,-22.082,7.759,23.406,-11.963,23.223,26.124,10.93,-9.749,-14.646,-85.56199999999998,68.986,109.909
-13.5,14.0,-40.328,42.7,58.732,-19.121,9.302,21.264,-8.483,18.961,20.773,8.928,-9.169,-12.798,-59.004000000000005,61.794,85.44
-13.5,16.5,-26.161,35.394,44.012,-16.109,10.014,18.967,-6.191,15.659,16.839,7.296,-8.48,-11.187,-41.165000000000006,52.587,66.783
-13.5,19.0,-17.413,28.681,33.552,-13.334,10.09,16.721,-4.635,13.087,13.883,5.984,-7.762,-9.801,-29.397999999999996,44.096000000000004,52.997
-11.0,-21.0,-2.842,-12.317,12.641,-5.061,-8.224,9.656,-10.822,-28.859,30.822,12.43,12.43,-17.579,-6.295000000000002,-36.970000000000006,37.502
-11.0,-18.5,-3.785,-14.824,15.299,-6.267,-9.204,11.135,-16.749,-37.685,41.239,15.697,13.244,-20.537,-11.104,-48.469,49.725
-11.0,-16.0,-5.184,-18.143,18.868,-7.825,-10.271,12.912,-27.45,-50.325,57.325,19.674,13.526,-23.874,-20.785000000000004,-65.21300000000001,68.445
-11.0,-13.5,-7.34,-22.632,23.793,-9.841,-11.379,15.044,-47.95,-67.93,83.146,24.212,12.863,-27.417,-40.919,-89.078,98.027
-11.0,-11.0,-10.822,-28.859,30.822,-12.43,-12.43,17.579,-88.397,-88.397,125.008,28.859,10.822,-30.822,-82.78999999999999,-118.864,144.855
-11.0,-8.5,-16.749,-37.685,41.239,-15.697,-13.244,20.537,-161.135,-93.995,186.54,32.778,7.17,-33.552,-160.803,-137.75400000000002,211.74
-11.0,-6.0,-27.45,-50.325,57.325,-19.674,-13.526,23.874,-239.906,-39.984,243.224,34.953,2.185,-35.02,-252.07699999999997,-101.65,271.801
-11.0,-3.5,-47.95,-67.93,83.146,-24.212,-12.863,27.417,-228.231,57.058,235.268,34.699,-3.253,-34.851,-265.694,-26.988000000000007,267.061
-11.0,-1.0,-88.397,-88.397,125.008,-28.859,-10.822,30.822,-144.015,96.01,173.082,32.103,-8.026,-33.09,-229.16799999999995,-11.235000000000003,229.443
-11.0,1.5,-161.135,-93.995,186.54,-32.778,-7.17,33.552,-78.01,84.511,115.013,27.957,-11.357,-30.176,-243.966,-28.01100000000001,245.569
-11.0,4.0,-239.906,-39.984,243.224,-34.953,-2.185,35.02,-42.665,63.998,76.918,23.275,-13.092,-26.705,-294.2490000000001,8.736999999999993,294.379
-11.0,6.5,-228.231,57.058,235.268,-34.699,3.253,34.851,-24.744,47.426,53.493,18.823,-13.529,-23.181,-268.851,94.208,284.879
-11.0,9.0,-144.015,96.01,173.082,-32.103,8.026,33.09,-15.28,35.653,38.791,14.986,-13.112,-19.912,-176.412,126.577,217.124
-11.0,11.5,-78.01,84.511,115.013,-27.957,11.357,30.176,-9.978,27.439,29.197,11.86,-12.231,-17.037,-104.08500000000001,111.076,152.222
-11.0,14.0,-42.665,63.998,76.918,-23.275,13.092,26.705,-6.827,21.617,22.67,9.396,-11.158,-14.587,-63.370999999999995,87.549,108.077
-11.0,16.5,-24.744,47.426,53.493,-18.823,13.529,23.181,-4.855,17.397,18.062,7.481,-10.053,-12.531,-40.940999999999995,68.299,79.63
-11.0,19.0,-15.28,35.653,38.791,-14.986,13.112,19.912,-3.567,14.266,14.705,6.001,-9.001,-10.818,-27.831999999999997,54.03,60.777
-8.5,-21.0,-1.744,-12.959,13.076,-4.832,-9.307,10.486,-7.17,-32.778,33.552,13.244,15.697,-20.537,-0.5019999999999989,-39.346999999999994,39.35
-8.5,-18.5,-2.349,-15.77,15.944,-6.103,-10.624,12.253,-11.613,-44.795,46.275,17.459,17.459,-24.691,-2.605999999999998,-53.72999999999999,53.793
-8.5,-16.0,-3.264,-19.586,19.856,-7.809,-12.147,14.44,-20.481,-64.369,67.547,23.008,18.747,-29.679,-8.546000000000003,-77.355,77.826
-8.5,-13.5,-4.72,-24.946,25.388,-10.115,-13.861,17.159,-40.558,-98.499,106.518,29.926,18.842,-35.364,-25.467000000000002,-118.46399999999998,121.17
-8.5,-11.0,-7.17,-32.778,33.552,-13.244,-15.697,20.537,-93.995,-161.135,186.54,37.685,16.749,-41.239,-76.724,-192.861,207.562
-8.5,-8.5,-11.613,-44.795,46.275,-17.459,-17.459,24.691,-259.714,-259.714,367.309,44.795,11.613,-46.275,-243.99099999999999,-310.355,394.781
-8.5,-6.0,-20.481,-64.369,67.547,-23.008,-18.747,29.679,-653.14,-186.611,679.266,48.979,3.628,-49.113,-647.65,-266.099,700.185
-8.5,-3.5,-40.558,-98.499,106.518,-29.926,-18.842,35.364,-570.453,244.48,620.653,48.483,-5.387,-48.781,-592.4540000000001,121.752,604.835
-8.5,-1.0,-93.995,-161.135,186.54,-37.685,-16.749,41.239,-209.798,239.769,318.593,43.528,-12.897,-45.398,-297.95,48.98800000000002,301.95
-8.5,1.5,-259.714,-259.714,367.309,-44.795,-11.613,46.275,-78.305,145.423,165.156,36.123,-17.392,-40.091,-346.69100000000003,-143.296,375.138
-8.5,4.0,-653.14,-186.611,679.266,-48.979,-3.628,49.113,-34.977,89.941,96.507,28.446,-18.964,-34.188,-708.65,-119.26199999999997,718.616
-8.5,6.5,-570.453,244.48,620.653,-48.483,5.387,48.781,-18.134,59.582,62.282,21.785,-18.558,-28.617,-615.285,290.891,680.583
-8.5,9.0,-209.798,239.769,318.593,-43.528,12.897,45.398,-10.481,41.926,43.217,16.515,-17.127,-23.793,-247.29200000000003,277.465,371.672
-8.5,11.5,-78.305,145.423,165.156,-36.123,17.392,40.091,-6.564,30.947,31.635,12.539,-15.326,-19.802,-108.45299999999999,178.436,208.81
-8.5,14.0,-34.977,89.941,96.507,-28.446,18.964,34.188,-4.368,23.712,24.112,9.595,-13.505,-16.567,-58.196,119.112,132.569
-8.5,16.5,-18.134,59.582,62.282,-21.785,18.558,28.617,-3.048,18.721,18.967,7.426,-11.826,-13.964,-35.541,85.035,92.164
-8.5,19.0,-10.481,41.926,43.217,-16.515,17.127,23.793,-2.208,15.139,15.299,5.819,-10.345,-11.87,-23.385,63.846999999999994,67.995
-6.0,-21.0,-0.511,-13.284,13.294,-4.4,-10.4,11.292,-2.185,-34.953,35.02,13.526,19.674,-23.874,6.43,-38.963,39.49
-6.0,-18.5,-0.692,-16.253,16.268,-5.667,-12.107,13.368,-3.628,-48.979,49.113,18.747,23.008,-29.679,8.76,-54.331,55.033
-6.0,-16.0,-0.968,-20.338,20.362,-7.43,-14.185,16.014,-6.68,-73.475,73.775,26.299,26.299,-37.192,11.221,-81.69899999999998,82.466
-6.0,-13.5,-1.415,-26.182,26.22,-9.929,-16.7,19.428,-14.354,-122.009,122.856,36.855,28.479,-46.575,11.156999999999996,-136.41199999999998,136.867
-6.0,-11.0,-2.185,-34.953,35.02,-13.526,-19.674,23.874,-39.984,-239.906,243.224,50.325,27.45,-57.325,-5.369999999999997,-267.083,267.137
-6.0,-8.5,-3.628,-48.979,49.113,-18.747,-23.008,29.679,-186.611,-653.14,679.266,64.369,20.481,-67.547,-144.617,-704.646,719.333
-6.0,-6.0,-6.68,-73.475,73.775,-26.299,-26.299,37.192,-3183.422,-3183.422,4501.359,73.475,6.68,-73.775,-3142.926,-3276.516,4540.214
-6.0,-3.5,-14.354,-122.009,122.856,-36.855,-28.479,46.575,-1535.519,2303.279,2768.542,72.349,-9.866,-73.02,-1514.3790000000001,2142.925,2624.018
-6.0,-1.0,-39.984,-239.906,243.224,-50.325,-27.45,57.325,-128.411,513.644,529.439,61.734,-22.449,-65.69,-156.986,223.839,273.402
-6.0,1.5,-186.611,-653.14,679.266,-64.369,-20.481,67.547,-31.649,205.717,208.122,47.462,-28.046,-55.13,-235.16700000000003,-495.95,548.881
-6.0,4.0,-3183.422,-3183.422,4501.359,-73.475,-6.68,73.775,-12.122,109.099,109.765,34.481,-28.212,-44.552,-3234.5379999999996,-3109.2149999999997,4486.586
-6.0,6.5,-1535.519,2303.279,2768.542,-72.349,9.866,73.02,-5.852,67.295,67.547,24.564,-25.68,-35.537,-1589.156,2354.76,2840.829
-6.0,9.0,-128.411,513.644,529.439,-61.734,22.449,65.69,-3.255,45.566,45.683,17.542,-22.326,-28.393,-175.858,559.333,586.327
-6.0,11.5,-31.649,205.717,208.122,-47.462,28.046,55.13,-1.993,32.878,32.938,12.694,-19.041,-22.885,-68.41,247.60000000000002,256.877
-6.0,14.0,-12.122,109.099,109.765,-34.481,28.212,44.552,-1.307,24.829,24.863,9.356,-16.161,-18.673,-38.554,145.979,150.984
-6.0,16.5,-5.852,67.295,67.547,-24.564,25.68,35.537,-0.903,19.408,19.428,7.028,-13.736,-15.43,-24.291,98.64699999999999,101.594
-6.0,19.0,-3.255,45.566,45.683,-17.542,22.326,28.393,-0.649,15.584,15.598,5.38,-11.738,-12.912,-16.066000000000003,71.738,73.515
-3.5,-21.0,0.764,-13.248,13.27,-3.738,-11.433,12.028,3.253,-34.699,34.851,12.863,24.212,-27.417,13.142,-35.16799999999999,37.543
-3.5,-18.5,1.034,-16.198,16.231,-4.902,-13.552,14.412,5.387,-48.483,48.781,18.842,29.926,-35.364,20.360999999999997,-48.307,52.423
-3.5,-16.0,1.447,-20.252,20.304,-6.579,-16.254,17.535,9.866,-72.349,73.02,28.479,36.855,-46.575,33.213,-72.0,79.291
-3.5,-13.5,2.111,-26.038,26.124,-9.066,-19.731,21.713,20.997,-118.981,120.815,44.039,44.039,-62.282,58.081,-120.711,133.957
-3.5,-11.0,3.253,-34.699,34.851,-12.863,-24.212,27.417,57.058,-228.231,235.268,67.93,47.95,-83.146,115.37800000000001,-239.192,265.565
-3.5,-8.5,5.387,-48.483,48.781,-18.842,-29.926,35.364,244.48,-570.453,620.653,98.499,40.558,-106.518,329.524,-608.304,691.824
-3.5,-6.0,9.866,-72.349,73.02,-28.479,-36.855,46.575,2303.279,-1535.519,2768.542,122.009,14.354,-122.856,2406.675,-1630.369,2906.921
-3.5,-3.5,20.997,-118.981,120.815,-44.039,-44.039,62.282,1414.854,1414.854,2000.604,118.981,-20.997,-120.815,1510.7930000000001,1230.837,1948.706
-3.5,-1.0,57.058,-228.231,235.268,-67.93,-47.95,83.146,173.157,461.752,493.151,92.28,-43.426,-101.986,254.565,142.14500000000004,291.562
-3.5,1.5,244.48,-570.453,620.653,-98.499,-40.558,106.518,45.474,197.053,202.237,62.447,-47.753,-78.609,253.902,-461.71099999999996,526.919
-3.5,4.0,2303.279,-1535.519,2768.542,-122.009,-14.354,122.856,17.774,106.642,108.112,40.328,-42.7,-58.732,2239.372,-1485.931,2687.523
-3.5,6.5,1414.854,1414.854,2000.604,-118.981,20.997,120.815,8.656,66.36,66.919,26.161,-35.394,-44.012,1330.69,1466.817,1980.477
-3.5,9.0,173.157,461.752,493.151,-92.28,43.426,101.986,4.836,45.14,45.398,17.413,-28.681,-33.552,103.126,521.637,531.733
-3.5,11.5,45.474,197.053,202.237,-62.447,47.753,78.609,2.968,32.652,32.787,11.963,-23.223,-26.124,-2.042000000000007,254.23499999999996,254.243
-3.5,14.0,17.774,106.642,108.112,-40.328,42.7,58.732,1.95,24.7,24.777,8.483,-18.961,-20.773,-12.121000000000002,155.08099999999996,155.554
-3.5,16.5,8.656,66.36,66.919,-26.161,35.394,44.012,1.349,19.329,19.376,6.191,-15.659,-16.839,-9.965000000000003,105.42399999999999,105.894
-3.5,19.0,4.836,45.14,45.398,-17.413,28.681,33.552,0.971,15.534,15.564,4.635,-13.087,-13.883,-6.971,76.268,76.586
-1.0,-21.0,1.978,-12.854,13.006,-2.842,-12.317,12.641,8.026,-32.103,33.09,10.822,28.859,-30.822,17.983999999999998,-28.415,33.628
-1.0,-18.5,2.658,-15.614,15.838,-3.785,-14.824,15.299,12.897,-43.528,45.398,16.749,37.685,-41.239,28.519,-36.281000000000006,46.148
-1.0,-16.0,3.685,-19.345,19.693,-5.184,-18.143,18.868,22.449,-61.734,65.69,27.45,50.325,-57.325,48.400000000000006,-48.897000000000006,68.8
-1.0,-13.5,5.31,-24.557,25.123,-7.34,-22.632,23.793,43.426,-92.28,101.986,47.95,67.93,-83.146,89.346,-71.53899999999999,114.458
-1.0,-11.0,8.026,-32.103,33.09,-10.822,-28.859,30.822,96.01,-144.015,173.082,88.397,88.397,-125.008,181.611,-116.57999999999997,215.809
-1.0,-8.5,12.897,-43.528,45.398,-16.749,-37.685,41.239,239.769,-209.798,318.593,161.135,93.995,-186.54,397.052,-197.01599999999996,443.244
-1.0,-6.0,22.449,-61.734,65.69,-27.45,-50.325,57.325,513.644,-128.411,529.439,239.906,39.984,-243.224,748.549,-200.486,774.932
-1.0,-3.5,43.426,-92.28,101.986,-47.95,-67.93,83.146,461.752,173.157,493.151,228.231,-57.058,-235.268,685.4590000000001,-44.111,686.877
-1.0,-1.0,96.01,-144.015,173.082,-88.397,-88.397,125.008,198.858,198.858,281.236,144.015,-96.01,-173.082,350.486,-129.56399999999996,373.667
-1.0,1.5,239.769,-209.798,318.593,-161.135,-93.995,186.54,80.982,131.595,154.513,78.01,-84.511,-115.013,237.62600000000003,-256.709,349.808
-1.0,4.0,513.644,-128.411,529.439,-239.906,-39.984,243.224,37.681,84.783,92.781,42.665,-63.998,-76.918,354.084,-147.61,383.62
-1.0,6.5,461.752,173.157,493.151,-228.231,57.058,235.268,19.943,57.336,60.706,24.744,-47.426,-53.493,278.208,240.125,367.505
-1.0,9.0,198.858,198.858,281.236,-144.015,96.01,173.082,11.663,40.821,42.454,15.28,-35.653,-38.791,81.78600000000002,300.03599999999994,310.983
-1.0,11.5,80.982,131.595,154.513,-78.01,84.511,115.013,7.356,30.344,31.223,9.978,-27.439,-29.197,20.305999999999994,219.011,219.95
-1.0,14.0,37.681,84.783,92.781,-42.665,63.998,76.918,4.918,23.362,23.874,6.827,-21.617,-22.67,6.760999999999998,150.526,150.678
-1.0,16.5,19.943,57.336,60.706,-24.744,47.426,53.493,3.442,18.501,18.818,4.855,-17.397,-18.062,3.496000000000002,105.86600000000001,105.924
-1.0,19.0,11.663,40.821,42.454,-15.28,35.653,38.791,2.499,14.996,15.203,3.567,-14.266,-14.705,2.449000000000001,77.20399999999998,77.243
1.5,-21.0,3.039,-12.157,12.531,-1.744,-12.959,13.076,11.357,-27.957,30.176,7.17,32.778,-33.552,19.822,-20.295,28.369
1.5,-18.5,4.036,-14.592,15.139,-2.349,-15.77,15.944,17.392,-36.123,40.091,11.613,44.795,-46.275,30.692,-21.689999999999998,37.583
1.5,-16.0,5.507,-17.791,18.624,-3.264,-19.586,19.856,28.046,-47.462,55.13,20.481,64.369,-67.547,50.769999999999996,-20.47,54.741
1.5,-13.5,7.759,-22.082,23.406,-4.72,-24.946,25.388,47.753,-62.447,78.609,40.558,98.499,-106.518,91.35,-10.976000000000013,92.007
1.5,-11.0,11.357,-27.957,30.176,-7.17,-32.778,33.552,84.511,-78.01,115.013,93.995,161.135,-186.54,182.69299999999998,22.389999999999986,184.06
1.5,-8.5,17.392,-36.123,40.091,-11.613,-44.795,46.275,145.423,-78.305,165.156,259.714,259.714,-367.309,410.916,100.49099999999999,423.025
1.5,-6.0,28.046,-47.462,55.13,-20.481,-64.369,67.547,205.717,-31.649,208.122,653.14,186.611,-679.266,866.422,43.13099999999997,867.495
1.5,-3.5,47.753,-62.447,78.609,-40.558,-98.499,106.518,197.053,45.474,202.237,570.453,-244.48,-620.653,774.701,-359.952,854.241
1.5,-1.0,84.511,-78.01,115.013,-93.995,-161.135,186.54,131.595,80.982,154.513,209.798,-239.769,-318.593,331.909,-397.932,518.183
1.5,1.5,145.423,-78.305,165.156,-259.714,-259.714,367.309,75.323,75.323,106.518,78.305,-145.423,-165.156,39.337,-408.119,410.01
1.5,4.0,205.717,-31.649,208.122,-653.14,-186.611,679.266,42.752,59.194,73.02,34.977,-89.941,-96.507,-369.694,-249.00699999999998,445.733
1.5,6.5,197.053,45.474,202.237,-570.453,244.48,620.653,25.377,44.899,51.575,18.134,-59.582,-62.282,-329.88899999999995,275.271,429.652
1.5,9.0,131.595,80.982,154.513,-209.798,239.769,318.593,15.909,34.265,37.777,10.481,-41.926,-43.217,-51.813,313.09,317.348
1.5,11.5,75.323,75.323,106.518,-78.305,145.423,165.156,10.489,26.626,28.617,6.564,-30.947,-31.635,14.070999999999987,216.42499999999998,216.882
1.5,14.0,42.752,59.194,73.02,-34.977,89.941,96.507,7.224,21.117,22.319,4.368,-23.712,-24.112,19.367000000000004,146.54,147.814
1.5,16.5,25.377,44.899,51.575,-18.134,59.582,62.282,5.163,17.076,17.84,3.048,-18.721,-18.967,15.453999999999999,102.83599999999998,103.991
1.5,19.0,15.909,34.265,37.777,-10.481,41.926,43.217,3.805,14.05,14.557,2.208,-15.139,-15.299,11.441,75.102,75.968
