Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza total X,fuerza total Y,fuerza neta total
-21.0,-11.0,-12.43,-12.43,17.579,-8.224,-5.061,9.656,-20.654,-17.491,27.065
-21.0,-8.5,-15.697,-13.244,20.537,-9.307,-4.832,10.486,-25.003999999999998,-18.076,30.854
-21.0,-6.0,-19.674,-13.526,23.874,-10.4,-4.4,11.292,-30.073999999999998,-17.926000000000002,35.011
-21.0,-3.5,-24.212,-12.863,27.417,-11.433,-3.738,12.028,-35.644999999999996,-16.601,39.321
-21.0,-1.0,-28.859,-10.822,30.822,-12.317,-2.842,12.641,-41.176,-13.664,43.384
-21.0,1.5,-32.778,-7.17,33.552,-12.959,-1.744,13.076,-45.736999999999995,-8.914,46.598
-21.0,4.0,-34.953,-2.185,35.02,-13.284,-0.511,13.294,-48.237,-2.696,48.312
-21.0,6.5,-34.699,3.253,34.851,-13.248,0.764,13.27,-47.946999999999996,4.017,48.115
-21.0,9.0,-32.103,8.026,33.09,-12.854,1.978,13.006,-44.957,10.004,46.057
-21.0,11.5,-27.957,11.357,30.176,-12.157,3.039,12.531,-40.114000000000004,14.395999999999999,42.619
-21.0,14.0,-23.275,13.092,26.705,-11.235,3.889,11.889,-34.51,16.981,38.462
-21.0,16.5,-18.823,13.529,23.181,-10.183,4.504,11.135,-29.006,18.033,34.155
-21.0,19.0,-14.986,13.112,19.912,-9.087,4.893,10.321,-24.073,18.005,30.061
-18.5,-11.0,-13.244,-15.697,20.537,-9.204,-6.267,11.135,-22.448,-21.964,31.406
-18.5,-8.5,-17.459,-17.459,24.691,-10.624,-6.103,12.253,-28.083,-23.561999999999998,36.658
-18.5,-6.0,-23.008,-18.747,29.679,-12.107,-5.667,13.368,-35.114999999999995,-24.414,42.768
-18.5,-3.5,-29.926,-18.842,35.364,-13.552,-4.902,14.412,-43.477999999999994,-23.744,49.539
-18.5,-1.0,-37.685,-16.749,41.239,-14.824,-3.785,15.299,-52.509,-20.534,56.381
-18.5,1.5,-44.795,-11.613,46.275,-15.77,-2.349,15.944,-60.565,-13.962,62.153
-18.5,4.0,-48.979,-3.628,49.113,-16.253,-0.692,16.268,-65.232,-4.32,65.375
-18.5,6.5,-48.483,5.387,48.781,-16.198,1.034,16.231,-64.681,6.420999999999999,64.999
-18.5,9.0,-43.528,12.897,45.398,-15.614,2.658,15.838,-59.141999999999996,15.555,61.153
-18.5,11.5,-36.123,17.392,40.091,-14.592,4.036,15.139,-50.714999999999996,21.427999999999997,55.056
-18.5,14.0,-28.446,18.964,34.188,-13.273,5.083,14.213,-41.719,24.046999999999997,48.153
-18.5,16.5,-21.785,18.558,28.617,-11.81,5.779,13.148,-33.595,24.337,41.484
-18.5,19.0,-16.515,17.127,23.793,-10.334,6.156,12.028,-26.849,23.282999999999998,35.538
-16.0,-11.0,-13.526,-19.674,23.874,-10.271,-7.825,12.912,-23.797,-27.499,36.366
-16.0,-8.5,-18.747,-23.008,29.679,-12.147,-7.809,14.44,-30.894,-30.817,43.636
-16.0,-6.0,-26.299,-26.299,37.192,-14.185,-7.43,16.014,-40.484,-33.729,52.693
-16.0,-3.5,-36.855,-28.479,46.575,-16.254,-6.579,17.535,-53.108999999999995,-35.058,63.637
-16.0,-1.0,-50.325,-27.45,57.325,-18.143,-5.184,18.868,-68.468,-32.634,75.848
-16.0,1.5,-64.369,-20.481,67.547,-19.586,-3.264,19.856,-83.955,-23.745,87.248
-16.0,4.0,-73.475,-6.68,73.775,-20.338,-0.968,20.362,-93.81299999999999,-7.648,94.124
-16.0,6.5,-72.349,9.866,73.02,-20.252,1.447,20.304,-92.601,11.312999999999999,93.289
-16.0,9.0,-61.734,22.449,65.69,-19.345,3.685,19.693,-81.07900000000001,26.134,85.187
-16.0,11.5,-47.462,28.046,55.13,-17.791,5.507,18.624,-65.253,33.553,73.374
-16.0,14.0,-34.481,28.212,44.552,-15.848,6.792,17.242,-50.329,35.004,61.305
-16.0,16.5,-24.564,25.68,35.537,-13.77,7.541,15.699,-38.334,33.221000000000004,50.726
-16.0,19.0,-17.542,22.326,28.393,-11.756,7.837,14.129,-29.298000000000002,30.163,42.05
-13.5,-11.0,-12.863,-24.212,27.417,-11.379,-9.841,15.044,-24.241999999999997,-34.053,41.8
-13.5,-8.5,-18.842,-29.926,35.364,-13.861,-10.115,17.159,-32.703,-40.041,51.699
-13.5,-6.0,-28.479,-36.855,46.575,-16.7,-9.929,19.428,-45.179,-46.784,65.038
-13.5,-3.5,-44.039,-44.039,62.282,-19.731,-9.066,21.713,-63.77,-53.105000000000004,82.986
-13.5,-1.0,-67.93,-47.95,83.146,-22.632,-7.34,23.793,-90.56200000000001,-55.290000000000006,106.106
-13.5,1.5,-98.499,-40.558,106.518,-24.946,-4.72,25.388,-123.445,-45.278,131.487
-13.5,4.0,-122.009,-14.354,122.856,-26.182,-1.415,26.22,-148.191,-15.768999999999998,149.028
-13.5,6.5,-118.981,20.997,120.815,-26.038,2.111,26.124,-145.019,23.108,146.849
-13.5,9.0,-92.28,43.426,101.986,-24.557,5.31,25.123,-116.837,48.736000000000004,126.594
-13.5,11.5,-62.447,47.753,78.609,-22.082,7.759,23.406,-84.529,55.512,101.127
-13.5,14.0,-40.328,42.7,58.732,-19.121,9.302,21.264,-59.449,52.002,78.983
-13.5,16.5,-26.161,35.394,44.012,-16.109,10.014,18.967,-42.27,45.408,62.037
-13.5,19.0,-17.413,28.681,33.552,-13.334,10.09,16.721,-30.747,38.771,49.483
-11.0,-11.0,-10.822,-28.859,30.822,-12.43,-12.43,17.579,-23.252,-41.289,47.386
-11.0,-8.5,-16.749,-37.685,41.239,-15.697,-13.244,20.537,-32.446,-50.929,60.386
-11.0,-6.0,-27.45,-50.325,57.325,-19.674,-13.526,23.874,-47.123999999999995,-63.851,79.358
-11.0,-3.5,-47.95,-67.93,83.146,-24.212,-12.863,27.417,-72.162,-80.793,108.328
-11.0,-1.0,-88.397,-88.397,125.008,-28.859,-10.822,30.822,-117.256,-99.21900000000001,153.601
-11.0,1.5,-161.135,-93.995,186.54,-32.778,-7.17,33.552,-193.91299999999998,-101.165,218.716
-11.0,4.0,-239.906,-39.984,243.224,-34.953,-2.185,35.02,-274.85900000000004,-42.169000000000004,278.075
-11.0,6.5,-228.231,57.058,235.268,-34.699,3.253,34.851,-262.93,60.311,269.758
-11.0,9.0,-144.015,96.01,173.082,-32.103,8.026,33.09,-176.118,104.036,204.551
-11.0,11.5,-78.01,84.511,115.013,-27.957,11.357,30.176,-105.96700000000001,95.868,142.897
-11.0,14.0,-42.665,63.998,76.918,-23.275,13.092,26.705,-65.94,77.09,101.444
-11.0,16.5,-24.744,47.426,53.493,-18.823,13.529,23.181,-43.567,60.955,74.924
-11.0,19.0,-15.28,35.653,38.791,-14.986,13.112,19.912,-30.266,48.765,57.394
-8.5,-11.0,-7.17,-32.778,33.552,-13.244,-15.697,20.537,-20.414,-48.474999999999994,52.598
-8.5,-8.5,-11.613,-44.795,46.275,-17.459,-17.459,24.691,-29.072,-62.254000000000005,68.708
-8.5,-6.0,-20.481,-64.369,67.547,-23.008,-18.747,29.679,-43.489000000000004,-83.116,93.806
-8.5,-3.5,-40.558,-98.499,106.518,-29.926,-18.842,35.364,-70.484,-117.341,136.883
-8.5,-1.0,-93.995,-161.135,186.54,-37.685,-16.749,41.239,-131.68,-177.884,221.32
-8.5,1.5,-259.714,-259.714,367.309,-44.795,-11.613,46.275,-304.509,-271.327,407.853
-8.5,4.0,-653.14,-186.611,679.266,-48.979,-3.628,49.113,-702.119,-190.23899999999998,727.435
-8.5,6.5,-570.453,244.48,620.653,-48.483,5.387,48.781,-618.9359999999999,249.867,667.469
-8.5,9.0,-209.798,239.769,318.593,-43.528,12.897,45.398,-253.326,252.666,357.791
-8.5,11.5,-78.305,145.423,165.156,-36.123,17.392,40.091,-114.428,162.815,199.004
-8.5,14.0,-34.977,89.941,96.507,-28.446,18.964,34.188,-63.423,108.905,126.027
-8.5,16.5,-18.134,59.582,62.282,-21.785,18.558,28.617,-39.919,78.14,87.746
-8.5,19.0,-10.481,41.926,43.217,-16.515,17.127,23.793,-26.996000000000002,59.053,64.931
-6.0,-11.0,-2.185,-34.953,35.02,-13.526,-19.674,23.874,-15.711,-54.627,56.841
-6.0,-8.5,-3.628,-48.979,49.113,-18.747,-23.008,29.679,-22.375,-71.987,75.384
-6.0,-6.0,-6.68,-73.475,73.775,-26.299,-26.299,37.192,-32.979,-99.774,105.083
-6.0,-3.5,-14.354,-122.009,122.856,-36.855,-28.479,46.575,-51.208999999999996,-150.488,158.962
-6.0,-1.0,-39.984,-239.906,243.224,-50.325,-27.45,57.325,-90.309,-267.356,282.197
